mode	pass	id	sig2	descId	offsetEntries	tablePow	nodes	seconds	ttHits	crossHits
promote1	4	87	975370	0	0	19	81528	0.022288376	12233	5917
promote1	4	92	975370	0	0	19	142780	0.028031356	18541	9568
promote1	4	95	877066	0	0	19	600	0.00012914	233	212
promote1	4	97	878602	0	0	19	22640	0.004532449	4666	1061
promote1	4	98	878666	0	0	19	4176	0.000799156	637	256
promote1	4	99	878618	0	0	19	29828	0.005675181	6872	2272
promote1	4	100	878605	0	0	19	11022	0.001919225	2675	481
promote1	4	90	975498	0	0	19	183598	0.046701658	31442	11630
promote1	4	96	878090	1	524288	19	123712	0.032822786	18047	100
promote1	4	94	975498	0	0	19	345173	0.070927375	52501	13454
promote1	4	101	877194	0	0	19	1	1.302e-06	1	0
promote1	4	103	878730	0	0	19	47	1.39e-05	3	0
promote1	4	102	878218	0	0	19	5418	0.00171961	1040	370
promote1	4	106	878218	0	0	19	2001	0.000641394	544	323
promote1	4	108	1009290	0	0	19	6	4.006e-06	0	0
promote1	4	109	878242	0	0	19	628	0.000180085	138	86
promote1	4	110	878218	0	0	19	24521	0.00642893	4289	891
promote1	4	111	878222	0	0	19	2690	0.000631339	294	101
promote1	4	104	877194	0	0	19	45491	0.010362567	6461	48
promote1	4	105	877450	0	0	19	47112	0.01170298	7158	867
promote1	4	112	1008266	0	0	19	20648	0.003280737	2583	1
promote1	4	113	878922	0	0	19	13271	0.002279064	2149	141
promote1	4	114	877386	0	0	19	45	1.36e-05	21	17
promote1	4	107	878474	0	0	19	144688	0.024189783	24216	4795
promote1	4	116	1008458	0	0	19	164432	0.027460777	23319	639
promote1	4	115	877386	0	0	19	220152	0.035181517	32109	8799
promote1	4	117	877410	0	0	19	50604	0.007860777	9070	50
promote1	5	118	878090	1	524288	19	211095	0.048593151	49598	18060
promote1	5	119	878602	0	0	19	2	3.435e-06	1	1
promote1	5	120	877130	0	0	19	1620	0.000567616	422	3
promote1	5	123	975370	0	0	19	44881	0.009063567	9204	13
promote1	5	122	877194	0	0	19	73741	0.013323144	10915	248
promote1	5	124	877082	0	0	19	20951	0.003633756	5367	11
promote1	5	126	877066	0	0	19	7110	0.001164874	1659	10
promote1	5	127	877069	0	0	19	5405	0.000883039	1547	3
promote1	5	121	877066	0	0	19	290668	0.056547856	55350	6672
promote1	5	128	877090	0	0	19	27014	0.006235515	4039	20
promote1	5	129	877066	0	0	19	24669	0.006747839	3098	30
promote1	5	130	877070	0	0	19	6993	0.002016336	855	167
promote1	5	125	1008138	0	0	19	639174	0.133716203	127174	7896
promote1	6	131	878090	1	524288	19	1	2.664e-06	1	1
promote1	6	132	878602	0	0	19	1	1.392e-06	1	1
promote1	6	133	877130	0	0	19	3	1.1607e-05	1	1
promote1	6	136	975370	0	0	19	2	1.783e-06	1	1
promote1	6	137	877082	0	0	19	1	1.142e-06	1	1
promote1	6	138	877066	0	0	19	3	2.524e-06	1	1
promote1	6	139	877069	0	0	19	1866	0.000691207	573	465
promote1	6	134	877066	0	0	19	104182	0.023270901	27230	7895
promote1	6	135	877194	0	0	19	353156	0.072306303	63754	11028
promote1	6	141	877090	0	0	19	4181	0.000759678	1066	584
promote1	6	142	877066	0	0	19	111491	0.023122012	15606	1992
promote1	6	143	877070	0	0	19	10792	0.002496033	1643	191
promote1	6	140	1008138	0	0	19	578934	0.112984959	116534	9093
promote1	6	144	878090	1	524288	19	1	4.477e-06	1	1
promote1	6	145	976930	0	0	19	4	9.134e-06	0	0
promote1	6	148	976906	0	0	19	4	6.24e-06	0	0
promote1	6	149	977034	0	0	19	4	1.1337e-05	0	0
promote1	6	151	976906	0	0	19	11494	0.003895623	1232	72
promote1	6	152	976910	0	0	19	3	4.867e-06	1	1
promote1	6	146	878090	1	524288	19	37201	0.012925839	15702	9788
promote1	6	147	878090	1	524288	19	37717	0.013389783	13336	7123
promote1	6	153	878154	0	0	19	9304	0.003362358	1518	120
promote1	6	154	976394	0	0	19	14384	0.004787845	2683	234
promote1	6	155	878106	0	0	19	90592	0.024115614	15497	1155
promote1	6	156	878093	0	0	19	87953	0.022559325	12300	1042
promote1	6	157	878666	0	0	19	2353	0.000404815	444	96
promote1	6	150	976906	0	0	19	237428	0.049728932	47489	3704
promote1	6	159	878602	0	0	19	8383	0.001312912	708	29
promote1	6	158	976906	0	0	19	57887	0.010905727	11586	1618
promote1	6	160	1009674	0	0	19	18286	0.00490029	2252	2
promote1	6	162	878626	0	0	19	4	4.787e-06	0	0
promote1	6	163	878602	0	0	19	4	6.269e-06	1	0
promote1	6	164	878602	0	0	19	3	3.355e-06	1	1
promote1	6	165	878730	0	0	19	2	1.512e-06	1	1
promote1	6	166	878602	0	0	19	12	7.952e-06	0	0
promote1	6	167	878606	0	0	19	3	1.513e-06	1	0
promote1	6	168	976906	0	0	19	1	1.041e-06	1	0
promote1	6	170	975370	0	0	19	19	7.441e-06	4	2
promote1	6	169	977034	0	0	19	2	2.443e-06	1	1
promote1	6	173	975498	0	0	19	3	2.434e-06	1	1
promote1	6	171	975498	0	0	19	1	3.786e-06	1	1
promote1	6	174	975754	0	0	19	84	3.7605e-05	15	13
promote1	6	175	975394	0	0	19	20	3.4631e-05	4	4
promote1	6	161	878618	0	0	19	27482	0.009074423	5762	1111
promote1	6	178	878605	0	0	19	12835	0.003537235	2992	505
promote1	6	172	975370	0	0	19	208331	0.062287151	49116	15940
promote1	6	176	975498	0	0	19	274393	0.087594389	51633	21018
promote1	6	180	878218	0	0	19	16404	0.003735667	2792	414
promote1	6	181	878218	0	0	19	6	3.395e-06	1	1
promote1	6	182	878474	0	0	19	5555	0.001449272	867	72
promote1	6	183	1009290	0	0	19	6	3.045e-06	0	0
promote1	6	184	878242	0	0	19	797	0.000171062	92	9
promote1	6	186	878222	0	0	19	9	4.126e-06	1	1
promote1	6	185	878218	0	0	19	1361	0.000287714	198	94
promote1	6	177	975370	0	0	19	339653	0.10080055	50915	3323
promote1	6	179	877194	0	0	19	77392	0.01616754	13349	3393
promote1	6	189	1008138	0	0	19	1	1.462e-06	1	0
promote1	6	191	1009674	0	0	19	17208	0.007480537	3405	841
promote1	6	192	1008138	0	0	19	2730	0.001640543	423	200
promote1	6	188	878090	1	524288	19	110274	0.027142018	29694	15139
promote1	6	194	878090	1	524288	19	2632	0.000690626	849	4
promote1	6	195	878218	0	0	19	1	1.503e-06	1	0
promote1	6	196	1009162	0	0	19	50207	0.009655407	8086	0
promote1	6	197	878114	0	0	19	3614	0.000805895	607	15
promote1	6	187	877066	0	0	19	154614	0.043936285	28394	9521
promote1	6	193	1008138	0	0	19	151573	0.039150977	22765	4617
promote1	6	199	1008266	0	0	19	31908	0.005352597	4526	978
promote1	6	190	1009162	0	0	19	324209	0.06486249	61801	6083
promote1	6	201	1009738	0	0	19	3635	0.000695464	602	153
promote1	6	202	1009674	0	0	19	2	1.221e-06	1	0
promote1	6	203	1008138	0	0	19	6	2.183e-06	0	0
promote1	6	200	1008162	0	0	19	91530	0.020022321	17839	2603
promote1	6	206	1009690	0	0	19	48429	0.015242818	10301	1372
promote1	6	207	1009677	0	0	19	37415	0.011620228	7260	734
promote1	6	204	1008266	0	0	19	264169	0.082835285	52073	16775
promote1	6	208	1008162	0	0	19	7	6.349e-06	1	1
promote1	6	198	878090	1	524288	19	386602	0.140532658	79521	0
promote1	6	210	878094	0	0	19	5803	0.00212683	1135	102
promote1	6	211	976930	0	0	19	4	3.515e-06	0	0
promote1	6	212	975394	0	0	19	1	1.433e-06	1	1
promote1	6	213	975522	0	0	19	114	6.3253e-05	12	7
promote1	6	215	975394	0	0	19	173	7.6272e-05	30	11
promote1	6	214	975394	0	0	19	1966	0.000612151	203	14
promote1	6	217	975398	0	0	19	126	5.5933e-05	25	12
promote1	6	216	975394	0	0	19	2655	0.001143864	411	241
promote1	6	218	976906	0	0	19	4	2.293e-06	1	1
promote1	6	219	975370	0	0	19	83315	0.024593127	14636	6971
promote1	6	205	1008138	0	0	19	497793	0.142373893	97352	10154
promote1	6	221	975370	0	0	19	70337	0.018936423	9850	883
promote1	6	222	975394	0	0	19	1	2.254e-06	1	0
promote1	6	223	975370	0	0	19	15584	0.004277213	2662	222
promote1	6	209	1008138	0	0	19	281366	0.080915727	49284	11592
promote1	6	224	975374	0	0	19	17335	0.005144641	2554	438
promote1	6	220	975498	0	0	19	612439	0.136887245	100081	9667
promote1	6	226	878602	0	0	19	16614	0.008645361	1586	258
promote1	6	227	877066	0	0	19	534	0.000185372	47	17
promote1	6	228	877194	0	0	19	6842	0.001887888	993	569
promote1	6	230	877090	0	0	19	2089	0.000589979	314	33
promote1	6	231	877066	0	0	19	421	0.000125064	41	1
promote1	6	232	877070	0	0	19	209	6.0989e-05	25	2
promote1	6	225	878090	1	524288	19	33542	0.01286555	4524	337
promote1	6	233	878090	1	524288	19	1	1.832e-06	1	0
promote1	6	235	1009162	0	0	19	28	1.2688e-05	0	0
promote1	6	234	878218	0	0	19	946	0.000288595	130	86
promote1	6	229	1008138	0	0	19	12288	0.004407545	2302	1310
promote1	6	237	878090	1	524288	19	1837	0.000648925	292	0
promote1	6	236	878114	0	0	19	2677	0.001076364	403	0
promote1	6	238	878094	0	0	19	1281	0.000370675	267	20
