tablePow	mode	repeat	captureScore	captureNodes	passTasks	resolvedTasks	unresolvedTasks	domain0Tasks	domain1Tasks	totalSec	totalNodes	totalHits	domain0Nodes	domain1Nodes	domain0Hits	domain1Hits	scoreVector
19	splitInterleaved	3	3	5854083	50	30	20	15	15	0.474841741	2776451	499974	830805	1945646	150628	349346	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
20	clearEach	1	3	5854083	50	30	20	15	15	1.410262313	5407548	935605	1243508	4164040	218940	716665	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
20	clearEach	2	3	5854083	50	30	20	15	15	1.364295849	5407548	935605	1243508	4164040	218940	716665	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
20	clearEach	3	3	5854083	50	30	20	15	15	1.3643661059999999	5407548	935605	1243508	4164040	218940	716665	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
20	sharedInterleaved	1	3	5854083	50	30	20	15	15	0.714814786	2727195	490113	820471	1906724	148021	342092	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
20	sharedInterleaved	2	3	5854083	50	30	20	15	15	0.6515139590000001	2727195	490113	820471	1906724	148021	342092	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
20	sharedInterleaved	3	3	5854083	50	30	20	15	15	0.637624075	2727195	490113	820471	1906724	148021	342092	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
20	sharedGrouped	1	3	5854083	50	30	20	15	15	0.685231471	2681034	481178	816305	1864729	147196	333982	3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3
20	sharedGrouped	2	3	5854083	50	30	20	15	15	0.7152208969999999	2681034	481178	816305	1864729	147196	333982	3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3
20	sharedGrouped	3	3	5854083	50	30	20	15	15	0.7450455230000002	2681034	481178	816305	1864729	147196	333982	3,3,4,4,4,3,4,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3
20	splitInterleaved	1	3	5854083	50	30	20	15	15	0.6886846279999999	2681034	481178	816305	1864729	147196	333982	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
20	splitInterleaved	2	3	5854083	50	30	20	15	15	0.6777073640000001	2681034	481178	816305	1864729	147196	333982	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
20	splitInterleaved	3	3	5854083	50	30	20	15	15	0.7088097450000002	2681034	481178	816305	1864729	147196	333982	3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3
