depth	score	nodes	tasks	families	unresolvedShare	p0Share	p1Share
4	3	5854083	136	35	0.4143041829278001	0.16645256577708886	0.4192432512951111
5	3	5853736	444	60	0.34437148658356476	0.23641729542637638	0.41921121799005884
6	3	5791785	677	88	0.3004156406599137	0.2385704862322269	0.46101387310785935
7	3	5850363	2327	139	0.29262787014650976	0.24960672502346998	0.45776540483002026
8	3	5888861	3366	192	0.2133853582213619	0.24784864638550164	0.5387659953931365
9	3	6008307	11126	240	0.19530971410441758	0.26354743008578935	0.541142855809793
10	3	6056903	15357	293	0.17781843786442142	0.2624123939627886	0.55976916817279
