pow	mode	repeat	activeEntries	perTaskEntries	seconds	nodes	hits	A1score	A1nodes	A1hits	A1seconds	Bscore	Bnodes	Bhits	Bseconds	A2score	A2nodes	A2hits	A2seconds
20	sharedN	1	1048576	1048576	0.469512481	1883891	334691	3	705611	123795	0.164750459	3	421378	75973	0.112029794	3	756902	134923	0.192645557
20	groupedN	1	1048576	1048576	0.475033677	1875595	333310	3	705611	123795	0.176842916	3	421378	75973	0.117830817	3	748606	133542	0.18027156
20	splitN	1	2097152	1048576	0.478131804	1875595	333310	3	705611	123795	0.177218003	3	421378	75973	0.110496462	3	748606	133542	0.190316298
20	shared2N	1	2097152	2097152	0.566197898	1863060	330437	3	700536	122606	0.20242834	3	418957	75332	0.1279774	3	743567	132499	0.235712088
20	splitN	2	2097152	1048576	0.530547878	1875595	333310	3	705611	123795	0.187771915	3	421378	75973	0.1204285	3	748606	133542	0.22226548
20	groupedN	2	1048576	1048576	0.522188864	1875595	333310	3	705611	123795	0.192847841	3	421378	75973	0.117789604	3	748606	133542	0.211463476
20	sharedN	2	1048576	1048576	0.464391084	1883891	334691	3	705611	123795	0.173824421	3	421378	75973	0.107691493	3	756902	134923	0.182791844
20	shared2N	2	2097152	2097152	0.621585473	1863060	330437	3	700536	122606	0.206984281	3	418957	75332	0.141050544	3	743567	132499	0.273451529
20	splitN	3	2097152	1048576	0.524980113	1875595	333310	3	705611	123795	0.211629536	3	421378	75973	0.115490341	3	748606	133542	0.19777668
20	shared2N	3	2097152	2097152	0.573781531	1863060	330437	3	700536	122606	0.213436595	3	418957	75332	0.129210011	3	743567	132499	0.231060232
20	sharedN	3	1048576	1048576	0.449356813	1883891	334691	3	705611	123795	0.180838393	3	421378	75973	0.102060869	3	756902	134923	0.166383128
20	groupedN	3	1048576	1048576	0.449055654	1875595	333310	3	705611	123795	0.162866759	3	421378	75973	0.106587041	3	748606	133542	0.179522765
20	sharedN	4	1048576	1048576	0.448744795	1883891	334691	3	705611	123795	0.15908045	3	421378	75973	0.114631548	3	756902	134923	0.174952065
20	shared2N	4	2097152	2097152	0.541390051	1863060	330437	3	700536	122606	0.19389436	3	418957	75332	0.128633043	3	743567	132499	0.218782847
20	splitN	4	2097152	1048576	0.441873047	1875595	333310	3	705611	123795	0.165363752	3	421378	75973	0.105391328	3	748606	133542	0.171042562
20	groupedN	4	1048576	1048576	0.433299353	1875595	333310	3	705611	123795	0.15421696	3	421378	75973	0.100825697	3	748606	133542	0.178180112
