tablePow	mode	repeat	a1Score	a1Sec	a1Nodes	a1Hits	bScore	bSec	bNodes	bHits	a2Score	a2Sec	a2Nodes	a2Hits	totalSec	totalNodes
19	clearBeforeA2	6	3	0.120997011	716129	125628	3	0.070840886	426562	77403	3	0.154339336	899156	153537	0.34617723300000003	2041847
19	clearBeforeA2	7	3	0.121975571	716129	125628	3	0.071496301	426562	77403	3	0.152707675	899156	153537	0.346179547	2041847
20	aOnly	1	3	0.180262617	705611	123795					3	0.164449602	748606	133542	0.34471221900000004	1454217
20	aOnly	2	3	0.15851481	705611	123795					3	0.174999493	748606	133542	0.333514303	1454217
20	aOnly	3	3	0.155662573	705611	123795					3	0.174833048	748606	133542	0.33049562099999996	1454217
20	aOnly	4	3	0.15992243	705611	123795					3	0.204721043	748606	133542	0.364643473	1454217
20	aOnly	5	3	0.182934719	705611	123795					3	0.237560077	748606	133542	0.420494796	1454217
20	aOnly	6	3	0.171939081	705611	123795					3	0.181315827	748606	133542	0.35325490800000003	1454217
20	aOnly	7	3	0.183234179	705611	123795					3	0.250984815	748606	133542	0.434218994	1454217
20	shared	1	3	0.224676292	705611	123795	3	0.101358297	421378	75973	3	0.190725455	756902	134923	0.516760044	1883891
20	shared	2	3	0.171358106	705611	123795	3	0.142215419	421378	75973	3	0.236959744	756902	134923	0.550533269	1883891
20	shared	3	3	0.168022957	705611	123795	3	0.104362544	421378	75973	3	0.20197892	756902	134923	0.47436442100000004	1883891
20	shared	4	3	0.185990392	705611	123795	3	0.105632992	421378	75973	3	0.187556688	756902	134923	0.479180072	1883891
20	shared	5	3	0.175890001	705611	123795	3	0.096440457	421378	75973	3	0.180864993	756902	134923	0.453195451	1883891
20	shared	6	3	0.174742061	705611	123795	3	0.103260132	421378	75973	3	0.173845183	756902	134923	0.451847376	1883891
20	shared	7	3	0.191405483	705611	123795	3	0.113802446	421378	75973	3	0.17800292	756902	134923	0.483210849	1883891
20	split	1	3	0.17632342	705611	123795	3	0.145280913	421378	75973	3	0.200819431	748606	133542	0.522423764	1875595
20	split	2	3	0.180897541	705611	123795	3	0.105726511	421378	75973	3	0.199370002	748606	133542	0.48599405399999995	1875595
20	split	3	3	0.181268055	705611	123795	3	0.105639444	421378	75973	3	0.187753328	748606	133542	0.474660827	1875595
20	split	4	3	0.169865425	705611	123795	3	0.112204344	421378	75973	3	0.175122562	748606	133542	0.457192331	1875595
20	split	5	3	0.164920418	705611	123795	3	0.103420889	421378	75973	3	0.200668575	748606	133542	0.46900988200000004	1875595
20	split	6	3	0.169382775	705611	123795	3	0.106653446	421378	75973	3	0.174857803	748606	133542	0.450894024	1875595
20	split	7	3	0.15209145	705611	123795	3	0.097142199	421378	75973	3	0.180094569	748606	133542	0.429328218	1875595
20	clearBeforeA2	1	3	0.163376677	705611	123795	3	0.096957308	421378	75973	3	0.225223038	884283	150417	0.485557023	2011272
20	clearBeforeA2	2	3	0.169217502	705611	123795	3	0.102644146	421378	75973	3	0.216360405	884283	150417	0.488222053	2011272
20	clearBeforeA2	3	3	0.194968646	705611	123795	3	0.104854839	421378	75973	3	0.23082417	884283	150417	0.530647655	2011272
20	clearBeforeA2	4	3	0.185375149	705611	123795	3	0.108675842	421378	75973	3	0.243290004	884283	150417	0.537340995	2011272
20	clearBeforeA2	5	3	0.184416898	705611	123795	3	0.105812107	421378	75973	3	0.239302671	884283	150417	0.529531676	2011272
20	clearBeforeA2	6	3	0.201330843	705611	123795	3	0.129925248	421378	75973	3	0.264862421	884283	150417	0.596118512	2011272
20	clearBeforeA2	7	3	0.200519234	705611	123795	3	0.112771107	421378	75973	3	0.233964807	884283	150417	0.547255148	2011272
