mode	pass	id	sig2	descId	offsetEntries	tablePow	nodes	seconds	ttHits	crossHits
flat	4	97	878602	0	0	20	21796	0.007495069	4508	1012
flat	4	98	878666	0	0	20	3612	0.001226875	599	271
flat	4	91	975498	0	0	20	173554	0.0581203	29502	11466
flat	4	99	878618	0	0	20	24884	0.008080551	5790	1961
flat	4	100	878605	0	0	20	10290	0.002696999	2551	472
flat	4	96	878090	0	0	20	83620	0.027708792	12234	315
flat	4	94	975498	0	0	20	359260	0.103843899	51424	13406
flat	4	101	877194	0	0	20	1	2.033e-06	1	0
flat	4	103	878730	0	0	20	47	2.5507e-05	3	0
flat	4	102	878218	0	0	20	2743	0.001159947	531	29
flat	4	106	878218	0	0	20	2169	0.000780418	884	627
flat	4	108	1009290	0	0	20	6	4.847e-06	0	0
flat	4	109	878242	0	0	20	625	0.000207726	188	137
flat	4	110	878218	0	0	20	25638	0.008434661	3792	73
flat	4	111	878222	0	0	20	2679	0.000794098	325	132
flat	4	104	877194	0	0	20	40029	0.013494396	5800	8
flat	4	105	877450	0	0	20	45031	0.014205252	6807	699
flat	4	112	1008266	0	0	20	19738	0.004408707	2466	1
flat	4	113	878922	0	0	20	11883	0.002716377	1907	118
flat	4	114	877386	0	0	20	14	6.579e-06	5	1
flat	4	107	878474	0	0	20	132091	0.039731172	22394	3236
flat	4	116	1008458	0	0	20	152002	0.031314618	21784	403
flat	4	117	877410	0	0	20	48305	0.010237003	8793	26
flat	4	115	877386	0	0	20	174979	0.043744547	27626	10902
flat	4	118	877386	0	0	20	31678	0.007373109	4573	582
flat	5	119	878090	0	0	20	213973	0.060640388	40666	8192
flat	5	120	878602	0	0	20	2	2.834e-06	1	1
flat	5	121	877130	0	0	20	1585	0.000695213	536	254
flat	5	124	975370	0	0	20	44662	0.01518302	9990	1921
flat	5	125	877082	0	0	20	20514	0.004892439	5947	1412
flat	5	123	877194	0	0	20	73289	0.022002515	10984	321
flat	5	126	877066	0	0	20	6897	0.001813478	1814	383
flat	5	128	877069	0	0	20	5350	0.001426248	1769	501
flat	5	122	877066	0	0	20	259449	0.062586691	55885	11738
flat	5	129	877090	0	0	20	26884	0.006097442	4037	13
flat	5	130	877066	0	0	20	24388	0.005622773	3075	26
flat	5	131	877070	0	0	20	6782	0.001675516	842	179
flat	5	127	1008138	0	0	20	622051	0.179747896	126525	10521
flat	6	132	878090	0	0	20	1	1.352e-06	1	1
flat	6	133	878602	0	0	20	1	9.01e-07	1	1
flat	6	134	877130	0	0	20	3	9.224e-06	1	1
flat	6	137	975370	0	0	20	1	9.52e-07	1	1
flat	6	138	877082	0	0	20	1	9.82e-07	1	1
flat	6	139	877066	0	0	20	1	6.21e-07	1	1
flat	6	140	877069	0	0	20	2	1.743e-06	1	1
flat	6	135	877066	0	0	20	96805	0.022395834	27724	9335
flat	6	136	877194	0	0	20	318429	0.094483556	65479	20413
flat	6	142	877090	0	0	20	2772	0.000972151	1085	740
flat	6	143	877066	0	0	20	105075	0.025733134	15664	3201
flat	6	144	877070	0	0	20	10550	0.002004139	1767	366
flat	6	141	1008138	0	0	20	515359	0.13825359	112510	13418
flat	6	145	878090	0	0	20	1	1.362e-06	1	1
flat	6	146	976930	0	0	20	4	8.733e-06	0	0
flat	6	149	976906	0	0	20	1	9.71e-07	1	0
flat	6	150	977034	0	0	20	3	1.0535e-05	1	1
flat	6	152	976906	0	0	20	11262	0.003823136	1469	346
flat	6	153	976910	0	0	20	3	3.144e-06	1	1
flat	6	147	878090	0	0	20	43953	0.010091178	10376	2164
flat	6	154	878154	0	0	20	3530	0.000847427	788	9
flat	6	148	878090	0	0	20	43237	0.011447954	8856	1842
flat	6	155	976394	0	0	20	6847	0.00232405	1614	895
flat	6	156	878106	0	0	20	72033	0.023370007	13829	3885
flat	6	157	878093	0	0	20	62871	0.024735056	10197	2930
flat	6	158	878666	0	0	20	1727	0.000649936	422	139
flat	6	159	976906	0	0	20	43175	0.014146216	10080	2308
flat	6	160	878618	0	0	20	19968	0.006805984	4891	1495
flat	6	161	878605	0	0	20	9680	0.003876684	2543	937
flat	6	151	976906	0	0	20	217657	0.069948164	46400	8841
flat	6	162	878602	0	0	20	6649	0.002030828	673	151
flat	6	163	1009674	0	0	20	18286	0.005743992	2255	5
flat	6	164	878626	0	0	20	4	2.864e-06	0	0
flat	6	165	878602	0	0	20	4	4.937e-06	1	0
flat	6	166	878602	0	0	20	3	2.203e-06	1	1
flat	6	168	878602	0	0	20	1	6.31e-07	1	1
flat	6	167	878730	0	0	20	2	4.597e-06	1	0
flat	6	169	878606	0	0	20	3	1.582e-06	1	1
flat	6	170	976906	0	0	20	1	6.01e-07	1	1
flat	6	172	975370	0	0	20	16	6.72e-06	5	5
flat	6	171	977034	0	0	20	3	2.133e-06	1	1
flat	6	175	975498	0	0	20	3	2.053e-06	1	0
flat	6	173	975498	0	0	20	1	3.876e-06	1	1
flat	6	176	975754	0	0	20	1	4.647e-06	1	1
flat	6	178	975394	0	0	20	3	5.748e-06	1	1
flat	6	179	975522	0	0	20	41	2.2663e-05	9	9
flat	6	180	975370	0	0	20	287481	0.072985703	47106	14737
flat	6	182	975374	0	0	20	10	5.017e-06	6	5
flat	6	174	975370	0	0	20	183852	0.076647101	43329	21907
flat	6	183	877066	0	0	20	16336	0.006842959	4626	677
flat	6	177	975498	0	0	20	246327	0.09327744	52056	18956
flat	6	184	878090	0	0	20	78826	0.021171562	12958	2029
flat	6	186	878218	0	0	20	3	4.076e-06	1	1
flat	6	185	878090	0	0	20	2357	0.000682604	453	100
flat	6	188	878114	0	0	20	3395	0.000882438	665	115
flat	6	187	1009162	0	0	20	49969	0.013778675	8077	14
flat	6	190	878094	0	0	20	3790	0.001206195	994	464
flat	6	189	878090	0	0	20	334867	0.095130197	72341	379
flat	6	191	1008138	0	0	20	1	2.244e-06	1	1
flat	6	181	975498	0	0	20	645773	0.198194288	115173	26776
flat	6	194	877194	0	0	20	1	1.803e-06	1	1
flat	6	193	1009674	0	0	20	15871	0.005726946	3160	1211
flat	6	196	1008138	0	0	20	2004	0.000745347	263	75
flat	6	195	878218	0	0	20	8152	0.010834653	1754	862
flat	6	199	878218	0	0	20	1	1.602e-06	1	1
flat	6	200	878474	0	0	20	1	9.51e-07	1	0
flat	6	201	1009290	0	0	20	6	4.126e-06	0	0
flat	6	202	878242	0	0	20	2	1.913e-06	1	1
flat	6	203	878218	0	0	20	2767	0.000775901	336	46
flat	6	204	878222	0	0	20	4	2.564e-06	1	1
flat	6	205	976930	0	0	20	2	1.422e-06	1	1
flat	6	206	975394	0	0	20	3	1.603e-06	1	1
flat	6	207	975522	0	0	20	2	1.412e-06	1	1
flat	6	208	975394	0	0	20	1233	0.000368072	204	78
flat	6	209	975394	0	0	20	120	4.1381e-05	29	26
flat	6	210	975394	0	0	20	785	0.000202838	111	76
flat	6	211	975398	0	0	20	4	1.973e-06	1	1
flat	6	212	976906	0	0	20	54	1.8367e-05	14	13
flat	6	213	975370	0	0	20	1	4.8e-07	1	1
flat	6	214	975498	0	0	20	1	5.81e-07	1	1
flat	6	198	1008266	0	0	20	33776	0.012926691	5100	1032
flat	6	215	878090	0	0	20	27192	0.00686419	3547	712
flat	6	217	878090	0	0	20	1	1.342e-06	1	1
flat	6	218	878218	0	0	20	1	5.81e-07	1	0
flat	6	219	1009162	0	0	20	28	1.0976e-05	0	0
flat	6	220	878114	0	0	20	2677	0.000738647	403	0
flat	6	221	878090	0	0	20	907	0.000262577	175	0
flat	6	222	878094	0	0	20	497	0.00013623	128	0
flat	6	223	975374	0	0	20	12659	0.003280638	2011	843
flat	6	224	976910	0	0	20	1	1.051e-06	1	1
flat	6	225	975374	0	0	20	3	2.624e-06	1	1
flat	6	226	975502	0	0	20	177	5.432e-05	54	35
flat	6	227	975374	0	0	20	3	2.353e-06	1	1
flat	6	228	975398	0	0	20	1	5.21e-07	1	0
flat	6	229	975374	0	0	20	53914	0.015606624	8792	945
flat	6	197	1008138	0	0	20	139433	0.047499432	22923	7750
flat	6	216	1008162	0	0	20	152712	0.043692501	30628	10549
flat	6	230	1008138	0	0	20	60819	0.012683143	8596	1658
flat	6	231	1009738	0	0	20	3927	0.000797764	651	189
flat	6	232	1009674	0	0	20	2	1.542e-06	1	1
flat	6	233	1008138	0	0	20	3	1.483e-06	1	1
flat	6	192	1009162	0	0	20	227020	0.069035465	45128	13406
flat	6	236	1009690	0	0	20	39233	0.007514437	8804	2789
flat	6	237	1009677	0	0	20	31887	0.005820504	6388	1663
flat	6	234	1008266	0	0	20	97257	0.020800567	22079	12459
flat	6	238	1008162	0	0	20	606	0.000198132	247	122
flat	6	239	1008138	0	0	20	194930	0.049184831	36220	5776
flat	6	235	1008138	0	0	20	406595	0.093093199	83774	20537
