run	mode	repeat	positions	nodes	prepareMs	searchMs	totalMs	drawCertificates	oneSidedExclusions	lineBackendRoots
adaptive-anchors.jsonl	base	0	3	11209846	3.2807060000009187	4003.551290999999	4006.8319970000002	0	0	0
adaptive-anchors.jsonl	adaptive	0	3	11209846	7.013660000001892	4021.1650059999984	4028.1786660000002	0	0	0
adaptive-anchors.jsonl	adaptive	1	3	11209846	6.450799000000188	3012.754728	3019.205527	0	0	0
adaptive-anchors.jsonl	base	1	3	11209846	1.5243999999984226	5283.242419	5284.766818999999	0	0	0
adaptive-anchors.jsonl	base	2	3	11209846	1.4213779999954568	4340.5001550000015	4341.921532999997	0	0	0
adaptive-anchors.jsonl	adaptive	2	3	11209846	4.12742800000342	4166.965024999998	4171.092453000001	0	0	0
adaptive-anchors.jsonl	adaptive	3	3	11209846	4.878848000000289	3608.575565999996	3613.454413999996	0	0	0
adaptive-anchors.jsonl	base	3	3	11209846	1.5827279999975872	3902.532637999997	3904.1153659999945	0	0	0
adaptive-anchors.jsonl	base	4	3	11209846	1.9831000000049244	3049.787271000001	3051.770371000006	0	0	0
adaptive-anchors.jsonl	adaptive	4	3	11209846	2.8898840000110795	3517.114609999997	3520.004494000008	0	0	0
adaptive-stress.jsonl	base	0	54	111850	26.4575650000005	34.62627399999997	61.08383900000047	0	0	0
adaptive-stress.jsonl	adaptive	0	54	77169	26.38589300000001	36.75862600000028	63.14451900000029	294	3989	54
adaptive-stress.jsonl	minimal	0	54	77169	26.839590999999814	34.87576100000035	61.715352000000166	294	3989	0
adaptive-stress.jsonl	adaptive	1	54	77169	17.390812000000096	18.27378900000042	35.664601000000516	294	3989	54
adaptive-stress.jsonl	base	1	54	111850	19.93977400000017	23.6678840000003	43.60765800000047	0	0	0
adaptive-stress.jsonl	minimal	1	54	77169	23.010259999999676	18.16713399999992	41.177393999999595	294	3989	0
adaptive-stress.jsonl	minimal	2	54	77169	24.280999000000975	19.90734099999986	44.188340000000835	294	3989	0
adaptive-stress.jsonl	base	2	54	111850	23.175841000000105	27.513665000000742	50.68950600000085	0	0	0
adaptive-stress.jsonl	adaptive	2	54	77169	23.541333000000122	18.33510399999841	41.87643699999853	294	3989	54
adaptive-stress.jsonl	base	3	54	111850	21.101902000000564	27.20813999999882	48.310041999999385	0	0	0
adaptive-stress.jsonl	minimal	3	54	77169	16.143474000000424	20.568137999999635	36.71161200000006	294	3989	0
adaptive-stress.jsonl	adaptive	3	54	77169	15.062886000000162	22.11736800000108	37.18025400000124	294	3989	54
adaptive-stress.jsonl	adaptive	4	54	77169	18.226275000000214	25.543599000000313	43.76987400000053	294	3989	54
adaptive-stress.jsonl	minimal	4	54	77169	16.7630759999995	21.663381000000754	38.426457000000255	294	3989	0
adaptive-stress.jsonl	base	4	54	111850	19.752025000000685	35.09282099999973	54.844846000000416	0	0	0
adaptive-stress.jsonl	minimal	5	54	77169	25.387131000000863	30.852606999999125	56.23973799999999	294	3989	0
adaptive-stress.jsonl	adaptive	5	54	77169	21.83719999999903	28.132363000000396	49.969562999999425	294	3989	54
adaptive-stress.jsonl	base	5	54	111850	26.64704999999958	33.49539299999992	60.1424429999995	0	0	0
adaptive-stress.jsonl	base	6	54	111850	30.82047000000034	32.268974999999955	63.089445000000296	0	0	0
adaptive-stress.jsonl	adaptive	6	54	77169	21.074746999999434	23.537302000001546	44.61204900000098	294	3989	54
adaptive-stress.jsonl	minimal	6	54	77169	25.127351000000544	34.77119499999935	59.8985459999999	294	3989	0
anchors-2m.jsonl	base	0	3	11209846	1.5251899999992702	3021.050673999999	3022.5758639999985	0	0	0
anchors-2m.jsonl	minimal	0	3	12419719	8.672332000001916	5831.068054999999	5839.740387000001	3	9675	0
anchors-2m.jsonl	base	1	3	11209846	2.7789900000025227	4039.959092999994	4042.7380829999965	0	0	0
anchors-2m.jsonl	minimal	1	3	12419719	2.7930970000052184	5402.117919999997	5404.911017000002	3	9675	0
anchors-2m.jsonl	minimal	2	3	12419719	2.004156000002695	5260.063923999995	5262.068079999997	3	9675	0
anchors-2m.jsonl	base	2	3	11209846	2.094916000001831	3624.990010000005	3627.084926000007	0	0	0
challenge-2m.jsonl	base	0	12	773257	6.371830000000045	223.03065899999933	229.40248899999938	0	0	0
challenge-2m.jsonl	minimal	0	12	684468	7.979920999999877	275.68303100000094	283.6629520000008	365	9184	0
challenge-2m.jsonl	base	1	12	773257	5.485617999999249	241.80507100000023	247.29068899999947	0	0	0
challenge-2m.jsonl	minimal	1	12	684468	6.709189000001061	253.8623630000002	260.57155200000125	365	9184	0
challenge-2m.jsonl	minimal	2	12	684468	11.519093999997494	304.06772000000274	315.58681400000023	365	9184	0
challenge-2m.jsonl	base	2	12	773257	5.676814999997987	250.32442600000104	256.001240999999	0	0	0
challenge-2m.jsonl	base	3	12	773257	5.584899000000405	282.1811540000017	287.7660530000021	0	0	0
challenge-2m.jsonl	minimal	3	12	684468	9.599498000001404	253.0950840000005	262.6945820000019	365	9184	0
challenge-2m.jsonl	minimal	4	12	684468	8.244722999997975	284.57814600000165	292.8228689999996	365	9184	0
challenge-2m.jsonl	base	4	12	773257	9.973933000004763	342.50555899999745	352.4794920000022	0	0	0
holdout-2m.jsonl	base	0	80	151809	40.95890100000008	86.67564199999913	127.63454299999921	0	0	0
holdout-2m.jsonl	minimal	0	80	131464	41.20926999999938	73.24544799999944	114.45471799999882	54	2018	0
holdout-2m.jsonl	base	1	80	151809	26.1889790000007	40.190608000000566	66.37958700000127	0	0	0
holdout-2m.jsonl	minimal	1	80	131464	23.194823000000497	40.250016999999616	63.44484000000011	54	2018	0
holdout-2m.jsonl	minimal	2	80	131464	32.147778000000244	40.55856400000084	72.70634200000109	54	2018	0
holdout-2m.jsonl	base	2	80	151809	27.405961000002208	38.86608099999944	66.27204200000165	0	0	0
holdout-2m.jsonl	base	3	80	151809	27.723644000000604	38.405991999999515	66.12963600000012	0	0	0
holdout-2m.jsonl	minimal	3	80	131464	25.051353999999947	43.46797100000026	68.51932500000021	54	2018	0
holdout-2m.jsonl	minimal	4	80	131464	55.43066999999792	61.42078699999979	116.85145699999771	54	2018	0
holdout-2m.jsonl	base	4	80	151809	100.76555700000017	76.1727610000014	176.93831800000157	0	0	0
stress-2m.jsonl	base	0	54	111850	33.5171730000003	42.868964999999776	76.38613800000007	0	0	0
stress-2m.jsonl	minimal	0	54	77169	27.369507999999314	32.80860900000005	60.17811699999936	294	3989	0
stress-2m.jsonl	base	1	54	111850	18.064596999999026	31.973157000000583	50.03775399999961	0	0	0
stress-2m.jsonl	minimal	1	54	77169	17.78317800000002	22.70002800000043	40.48320600000045	294	3989	0
stress-2m.jsonl	minimal	2	54	77169	15.894459999999754	19.934551000000283	35.82901100000004	294	3989	0
stress-2m.jsonl	base	2	54	111850	22.31705100000022	32.29549000000043	54.61254100000065	0	0	0
stress-2m.jsonl	base	3	54	111850	15.831097999999429	26.16215499999953	41.99325299999896	0	0	0
stress-2m.jsonl	minimal	3	54	77169	16.23678100000052	18.194870000000492	34.43165100000101	294	3989	0
stress-2m.jsonl	minimal	4	54	77169	16.194264999999177	29.106533000000127	45.300797999999304	294	3989	0
stress-2m.jsonl	base	4	54	111850	21.669528999999557	31.080671999999822	52.75020099999938	0	0	0
stress-2m.jsonl	minimal	5	54	77169	21.313684000000194	26.099720000000843	47.41340400000104	294	3989	0
stress-2m.jsonl	base	5	54	111850	24.51875899999959	41.46380700000009	65.98256599999968	0	0	0
stress-2m.jsonl	base	6	54	111850	17.04587800000013	26.946641	43.99251900000013	0	0	0
stress-2m.jsonl	minimal	6	54	77169	17.05637399999887	21.837492999999995	38.89386699999886	294	3989	0
